"#Parameters = {h=1.6; lo1=5.55; lo2=4.4; lp=6.5; t=0.035; wg=25; wo1=0.6; wo2=2.96; wp=7.6; yg=25}"
"#""Frequency / GHz""	""S1,1 [Magnitude]"""
#------------------------------------
"6.0000000000000	-0.70496737541329"
"6.0068001747131	-0.70272339807916"
"6.0135998725891	-0.70039529086741"
"6.0204000473022	-0.69799069161137"
"6.0272002220154	-0.69552173011785"
"6.0339999198914	-0.69299516736626"
"6.0408000946045	-0.69041900209907"
"6.0475997924805	-0.68780407903440"
"6.0543999671936	-0.68515796716987"
"6.0612001419067	-0.68248944713745"
"6.0679998397827	-0.67980811610613"
"6.0748000144958	-0.67712149368228"
"6.0816001892090	-0.67443805953756"
"6.0883998870850	-0.67176740872281"
"6.0952000617981	-0.66911756638625"
"6.1020002365112	-0.66649566891572"
"6.1087999343872	-0.66391049210590"
"6.1156001091003	-0.66136935393929"
"6.1223998069763	-0.65887952181256"
"6.1291999816895	-0.65644930201736"
"6.1360001564026	-0.65408419137270"
"6.1427998542786	-0.65179201481090"
"6.1496000289917	-0.64957841360209"
"6.1564002037048	-0.64745059247751"
"6.1631999015808	-0.64541352190984"
"6.1700000762939	-0.64347347090676"
"6.1767997741699	-0.64163481671694"
"6.1835999488831	-0.63990345155048"
"6.1904001235962	-0.63828335125578"
"6.1971998214722	-0.63677911642917"
"6.2039999961853	-0.63539452013743"
"6.2108001708984	-0.63413164444894"
"6.2175998687744	-0.63299657280861"
"6.2244000434875	-0.63199065053064"
"6.2312002182007	-0.63111607949620"
"6.2379999160767	-0.63037524946973"
"6.2448000907898	-0.62977037550128"
"6.2515997886658	-0.62930237534138"
"6.2583999633789	-0.62897245728461"
"6.2652001380920	-0.62878078305908"
"6.2719998359680	-0.62872900499759"
"6.2788000106812	-0.62881590057275"
"6.2856001853943	-0.62904187319674"
"6.2923998832703	-0.62940579107425"
"6.2992000579834	-0.62990723812716"
"6.3060002326965	-0.63054472265512"
"6.3127999305725	-0.63131667624952"
"6.3196001052856	-0.63222079003423"
"6.3263998031616	-0.63325541669279"
"6.3331999778748	-0.63441691539487"
"6.3400001525879	-0.63570433673148"
"6.3467998504639	-0.63711348356408"
"6.3536000251770	-0.63864077402619"
"6.3604001998901	-0.64028347607317"
"6.3671998977661	-0.64203659153220"
"6.3740000724792	-0.64389763909151"
"6.3807997703552	-0.64586154525916"
"6.3875999450684	-0.64792338241924"
"6.3944001197815	-0.65007988480752"
"6.4011998176575	-0.65232501401762"
"6.4079999923706	-0.65465504667386"
"6.4148001670837	-0.65706345933959"
"6.4215998649597	-0.65954672451094"
"6.4284000396729	-0.66209754652591"
"6.4352002143860	-0.66471109752136"
"6.4419999122620	-0.66738342295749"
"6.4488000869751	-0.67010630027355"
"6.4555997848511	-0.67287691077884"
"6.4623999595642	-0.67568893107168"
"6.4692001342773	-0.67853417099500"
"6.4759998321533	-0.68140978636697"
"6.4828000068665	-0.68430849895952"
"6.4896001815796	-0.68722597825074"
"6.4963998794556	-0.69015496085439"
"6.5032000541687	-0.69309197036812"
"6.5100002288818	-0.69602807192832"
"6.5167999267578	-0.69896034734936"
"6.5236001014709	-0.70188419584696"
